Age,Height,Weight,BMI,Gender
35,157.9,57.7,23.14,1
26,168.8,61.9,21.72,1
41,154.2,79.7,33.52,1
93,157.9,59.7,23.94,0
73,157.1,53.1,21.52,0
13,133.4,34.6,19.44,0
18,159.1,52.9,20.9,0
39,168.4,66.2,23.34,1
21,169.6,67.2,23.36,0
30,167.1,64.1,22.96,1
11,137.7,35.9,18.93,0
10,144.7,33.7,16.1,0
7,127.8,23.8,14.57,0
75,148.9,53.6,24.18,1
43,164.0,77.3,28.74,0
95,146.0,52.2,24.49,1
21,166.7,58.4,21.02,0
27,164.3,57.0,21.12,1
16,160.0,61.0,23.83,0
9,118.0,23.1,16.59,0
30,163.5,67.3,25.18,0
18,159.8,46.4,18.17,1
13,127.2,26.6,16.44,1
75,146.2,72.2,33.78,0
27,161.0,59.1,22.8,1
43,160.3,82.2,31.99,1
62,159.9,82.6,32.31,0
11,136.7,25.9,13.86,1
57,167.8,76.5,27.17,1
92,140.4,55.8,28.31,1
40,165.2,68.2,24.99,1
16,156.4,48.2,19.7,0
13,130.3,32.1,18.91,0
32,178.8,61.6,19.27,0
54,155.6,68.7,28.38,1
11,126.2,28.9,18.15,1
50,163.1,61.1,22.97,1
13,146.6,46.1,21.45,0
2,88.4,11.4,14.59,0
43,182.6,90.5,27.14,0
21,160.6,59.3,22.99,0
9,126.4,26.1,16.34,0
95,129.5,54.9,32.74,1
75,146.5,66.8,31.12,0
42,180.3,90.9,27.96,0
69,149.0,66.8,30.09,1
32,170.5,78.8,27.11,0
18,165.4,58.7,21.46,0
86,148.2,58.3,26.54,1
1,82.9,11.1,16.15,0
13,129.3,24.2,14.47,1
3,92.2,13.9,16.35,0
71,150.2,78.6,34.84,0
75,150.7,50.8,22.37,1
93,156.9,53.3,21.65,0
6,95.1,12.1,13.38,1
47,172.9,73.4,24.55,0
89,153.6,64.7,27.42,0
26,170.4,55.4,19.08,0
33,160.0,64.5,25.2,1
24,157.1,65.2,26.42,1
1,75.9,4.0,6.94,1
15,160.8,47.1,18.22,0
80,142.9,63.8,31.24,1
42,160.5,62.4,24.22,1
30,168.5,60.2,21.2,1
59,167.6,64.6,23.0,1
14,155.1,41.4,17.21,0
95,132.0,49.1,28.18,1
4,86.7,7.1,9.45,1
46,164.6,73.8,27.24,0
7,98.0,13.1,13.64,1
84,142.5,53.2,26.2,1
52,148.0,70.8,32.32,1
18,165.6,61.6,22.46,0
10,114.6,18.3,13.93,1
68,139.8,54.6,27.94,1
79,147.2,54.0,24.92,1
4,109.4,10.7,8.94,1
28,172.6,67.1,22.52,0
76,150.6,62.7,27.65,1
22,157.4,55.7,22.48,1
90,140.8,57.9,29.21,1
94,138.2,66.9,35.03,0
3,86.5,6.4,8.55,1
45,156.1,80.6,33.08,1
50,157.1,73.6,29.82,0
2,81.3,8.3,12.56,0
16,153.3,51.2,21.79,0
59,174.0,85.6,28.27,0
48,165.0,81.2,29.83,0
97,143.7,37.0,17.92,1
17,157.9,58.6,23.5,1
7,103.7,20.7,19.25,0
2,92.2,12.8,15.06,0
13,126.2,27.7,17.39,1
3,91.0,15.3,18.48,0
37,161.0,74.6,28.78,0
74,165.2,73.2,26.82,0
95,136.4,49.4,26.55,0
10,117.6,19.0,13.74,1
21,163.6,62.3,23.28,0
93,146.6,46.1,21.45,1
4,109.7,18.4,15.29,0
29,168.9,54.3,19.03,1
3,89.2,15.3,19.23,0
58,154.0,72.1,30.4,1
89,145.3,54.2,25.67,1
58,158.5,80.2,31.92,1
47,161.1,76.4,29.44,1
71,142.6,63.0,30.98,0
40,170.8,68.3,23.41,0
14,144.0,40.3,19.43,1
62,156.0,62.9,25.85,0
11,129.9,25.2,14.93,1
8,121.0,23.5,16.05,0
52,168.3,74.3,26.23,1
56,165.1,59.6,21.87,1
52,153.4,70.5,29.96,0
21,161.7,52.2,19.96,1
20,158.0,56.8,22.75,1
43,157.1,74.9,30.35,1
3,88.7,7.8,9.91,1
21,160.4,60.1,23.36,0
60,150.3,68.5,30.32,1
10,128.3,24.8,15.07,1
62,167.9,68.4,24.26,0
19,157.6,58.9,23.71,1
91,142.8,63.9,31.34,0
13,132.2,28.0,16.02,1
56,151.7,81.1,35.24,0
12,141.5,30.0,14.98,0
46,160.3,66.4,25.84,1
90,144.8,52.1,24.85,1
8,116.9,18.8,13.76,1
87,145.2,56.5,26.8,0
48,154.6,66.2,27.7,1
4,112.8,20.4,16.03,0
9,116.4,17.3,12.77,1
75,146.8,47.5,22.04,1
64,167.8,61.0,21.66,0
7,126.5,22.4,14.0,0
22,163.2,65.4,24.55,1
44,170.1,66.4,22.95,1
5,100.7,10.5,10.35,1
59,157.1,61.8,25.04,1
80,156.5,60.0,24.5,0
90,147.6,69.8,32.04,0
51,158.0,69.6,27.88,0
90,146.6,53.5,24.89,0
42,157.2,70.3,28.45,1
53,148.9,77.9,35.14,1
54,158.2,80.1,32.01,0
1,75.3,4.0,7.05,1
16,155.5,45.9,18.98,0
39,162.9,66.5,25.06,1
69,143.3,78.7,38.33,0
60,143.7,63.8,30.9,1
8,123.9,20.9,13.61,0
96,131.3,36.9,21.4,1
10,139.8,32.8,16.78,0
18,159.7,66.7,26.15,0
30,160.9,66.6,25.73,1
1,83.3,11.1,16.0,0
3,94.9,11.8,13.1,0
7,97.0,19.6,20.83,0
22,163.3,53.1,19.91,1
8,127.1,21.0,13.0,0
10,137.3,25.8,13.69,1
15,141.1,41.3,20.74,1
16,154.5,42.3,17.72,1
85,158.6,61.5,24.45,0
94,142.1,54.3,26.89,1
37,177.3,66.6,21.19,1
77,140.5,50.0,25.33,1
3,88.9,7.5,9.49,1
85,153.2,65.3,27.82,1
77,156.9,56.1,22.79,1
17,159.8,48.0,18.8,1
86,138.3,50.5,26.4,0
2,85.4,6.1,8.36,1
34,162.1,58.4,22.23,1
7,106.7,11.4,10.01,1
97,140.5,46.4,23.51,1
93,134.7,59.6,32.85,1
11,135.9,36.2,19.6,0
46,167.4,71.7,25.59,0
67,164.5,57.9,21.4,0
40,183.6,78.4,23.26,0
80,138.6,63.7,33.16,0
22,160.2,56.4,21.98,0
80,140.9,62.3,31.38,1
69,146.6,63.3,29.45,1
22,158.2,53.1,21.22,1
19,163.0,57.5,21.64,0
47,164.4,74.4,27.53,1
90,158.8,59.4,23.56,0
7,108.9,16.3,13.74,0
80,148.3,59.2,26.92,1
36,166.4,65.5,23.66,0
41,183.0,68.7,20.51,0
100,146.0,45.6,21.39,1
4,107.3,10.2,8.86,1
63,155.6,54.1,22.34,1
90,153.6,56.8,24.07,0
81,147.5,48.0,22.06,1
8,121.9,26.0,17.5,0
82,134.8,59.7,32.85,1
76,136.7,51.9,27.77,1
59,149.0,89.8,40.45,0
7,125.8,21.8,13.78,0
7,103.5,10.2,9.52,1
25,159.7,56.2,22.04,1
95,138.8,55.5,28.81,1
1,66.8,4.0,8.96,1
45,169.6,71.2,24.75,1
43,170.9,73.8,25.27,1
44,158.1,87.2,34.89,0
48,161.4,86.8,33.32,0
1,80.5,9.6,14.81,0
13,134.2,36.2,20.1,0
39,161.2,68.6,26.4,0
32,172.4,66.2,22.27,0
34,159.6,63.5,24.93,1
76,148.8,62.5,28.23,1
61,150.9,69.8,30.65,1
39,162.4,76.7,29.08,1
56,154.4,84.0,35.24,0
63,150.3,63.8,28.24,0
14,156.7,46.9,19.1,1
60,164.0,65.2,24.24,1
1,77.2,10.7,17.95,0
18,162.6,55.6,21.03,1
4,82.8,11.0,16.04,0
81,140.9,63.4,31.94,0
33,168.9,71.2,24.96,1
21,158.9,55.3,21.9,1
72,162.9,59.2,22.31,0
10,134.7,32.6,17.97,0
70,150.4,73.5,32.49,1
9,118.5,23.3,16.59,0
14,156.3,44.8,18.34,0
4,99.6,13.0,13.1,1
2,78.3,6.1,9.95,1
52,166.9,80.5,28.9,1
42,169.9,63.8,22.1,1
60,171.9,69.4,23.49,0
91,146.5,53.0,24.69,1
56,148.9,88.2,39.78,0
100,139.7,54.3,27.82,1
28,162.6,63.1,23.87,0
52,168.2,84.4,29.83,0
55,158.3,74.3,29.65,1
3,81.2,6.7,10.16,1
88,144.1,50.1,24.13,0
76,152.4,68.8,29.62,0
41,158.8,58.8,23.32,1
55,160.7,87.3,33.81,0
76,146.9,63.5,29.43,0
5,106.5,11.5,10.14,1
65,139.2,73.4,37.88,1
10,136.4,28.2,15.16,1
45,175.2,77.5,25.25,0
4,99.6,10.1,10.18,1
36,167.0,70.1,25.14,1
75,142.4,59.1,29.15,1
63,154.3,74.9,31.46,1
2,75.2,11.2,19.81,0
47,173.8,84.4,27.94,0
27,174.5,68.8,22.59,0
76,141.8,65.9,32.77,1
46,172.5,83.3,27.99,1
50,163.0,69.7,26.23,1
2,82.5,10.0,14.69,0
97,132.5,50.5,28.76,1
2,75.6,4.0,7.0,1
85,153.7,54.4,23.03,1
90,135.7,55.3,30.03,1
84,154.4,66.9,28.06,1
62,145.7,68.8,32.41,0
16,157.6,56.4,22.71,1
18,160.1,50.7,19.78,0
35,158.6,63.5,25.24,0
82,144.5,55.0,26.34,0
16,153.5,50.8,21.56,1
40,177.9,72.2,22.81,0
6,100.0,11.7,11.7,1
1,68.5,4.0,8.52,1
13,134.9,28.4,15.61,1
8,122.7,17.5,11.62,1
8,115.5,18.5,13.87,1
85,153.5,50.4,21.39,0
3,78.5,7.6,12.33,1
16,152.2,53.1,22.92,1
11,127.3,26.0,16.04,1
96,131.1,46.2,26.88,1
13,131.2,26.8,15.57,1
87,144.4,62.4,29.93,1
4,101.8,14.5,13.99,0
90,153.3,59.1,25.15,0
7,96.8,11.1,11.85,1
18,157.8,56.2,22.57,1
75,138.4,68.9,35.97,1
22,165.3,56.3,20.6,0
48,157.2,86.4,34.96,0
26,161.0,61.9,23.88,1
30,170.3,61.3,21.14,1
35,175.4,67.5,21.94,0
12,130.9,25.5,14.88,1
13,131.1,28.3,16.47,0
7,97.2,19.2,20.32,0
64,170.8,77.9,26.7,0
75,138.1,46.6,24.43,1
85,144.3,54.2,26.03,0
39,169.4,60.2,20.98,0
35,163.6,78.6,29.37,1
85,148.4,59.0,26.79,1
68,153.2,62.7,26.71,1
62,145.9,65.6,30.82,0
36,171.5,61.2,20.81,1
44,181.4,74.8,22.73,0
41,180.3,73.2,22.52,0
3,80.7,8.0,12.28,1
94,137.7,67.4,35.55,0
18,161.6,61.8,23.66,0
1,78.3,11.9,19.41,0
16,153.6,36.2,15.34,1
13,144.2,35.6,17.12,1
48,166.1,63.7,23.09,0
35,170.1,71.8,24.82,0
10,125.4,25.3,16.09,0
60,151.0,69.1,30.31,0
18,153.4,55.7,23.67,1
54,177.6,63.1,20.01,0
22,162.7,48.3,18.25,1
45,182.4,81.4,24.47,0
1,66.3,4.0,9.1,1
65,143.9,61.6,29.75,1
98,138.4,65.4,34.14,0
47,158.2,69.4,27.73,1
